,Hasselt,68.058,76.331
,Herk-de-Stad,11.615,12.463
,Maasmechelen,35.430,37.609
,Bree,14.001,15.660
,Borgloon,10.116,10.588
,Ham,9.326,10.617
,Sint-Truiden,37.147,39.957
,Overpelt,12.533,14.848
,Alken,10.900,11.421
,Leopoldsburg,13.796,15.213
,Beringen,39.261,44.885
,Zonhoven,18.940,21.195
,Nieuwerkerken,6.483,6.841
,As,7.213,8.119
,Tessenderlo,15.819,18.334
,Zutendaal,6.755,7.138
,Halen,8.216,9.546
,Gingelom,7.600,8.383
,Kortessem,8.010,8.380
,Lanaken,23.500,25.731
,Diepenbeek,17.173,18.757
,Maaseik,22.852,25.115
,Dilsen-Stokkem,18.187,20.199
,Tongeren,29.723,30.677
,Houthalen-Helchteren,29.215,30.666
,Heers,6.575,7.237
,Hoeselt,9.133,9.608
,Wellen,6.725,7.423
Liège,Crisnée,2.584,3.215
,Engis,5.689,5.982
,Stoumont,2.873,3.109
,Braives,5.352,6.148
,Burdinne,2.709,3.116
,Esneux,13.178,13.094
,Fexhe-le-Haut-Clocher,2.930,3.250
,Blégny,12.382,13.218
,Welkenraedt,8.801,9.812
,Dalhem,6.145,7.225
,Weismes,6.503,7.410
,Lijsem,2.806,3.268
,Geer,2.570,3.323
,Aywaille,10.065,11.988
,Stavelot,6.479,7.116
,Berloz,2.620,3.025
,Malmedy,11.144,12.384
,Tinlot,2.184,2.650
,Ouffet,2.474,2.758
,Wasseiges,2.241,2.833
,Trois-Ponts,2.346,2.531
,Theux,11.170,12.134
,Trooz,7.689,8.198
,Beyne-Heusay,11.661,12.051
,Saint-Georges-sur-Meuse,6.785,6.598
,Villers-le-Bouillet,5.653,6.461
,Donceel,2.653,3.026
,Remicourt,4.753,5.861
,Marchin,4.935,5.383
,Anthisnes,3.881,4.107
,Modave,3.588,4.196
,Comblain-au-Pont,5.189,5.325
,Amel,5.069,5.511
,Spa,10.333,10.489
,Büllingen,5.287,5.503
,Verlaine,3.429,4.074
,Aubel,3.851,4.216
,Héron,4.195,5.145
,Clavier,4.120,4.510
,Ferrières,4.208,4.842
